rank,uid,username,type,accompany,medal_name,medal_level
1,45331405,青鈫,舰长,145,小丸艺,26
2,222569776,纸上寒灯_梨花雨凉,舰长,32,小丸艺,25
3,3546567229311018,逍-遥-自-在-,舰长,89,小丸艺,25
4,7845145,凉皮米线,舰长,37,小丸艺,24
5,1784237452,幸运版金太狼,舰长,56,小丸艺,24
6,36178387,没有人偶了i,舰长,8,小丸艺,24
7,3546813342682040,神秘人_0019,舰长,102,小丸艺,24
8,3546647397141444,是千栀,舰长,24,小丸艺,22
9,3546888569620883,桃初桃出吃桃酥,舰长,13,小丸艺,22
10,21532767,LuxorSky,舰长,25,小丸艺,22
11,35320908,想吃核桃酥的核桃,舰长,4,小丸艺,21
12,670463398,大头蘑菇彬,舰长,15,小丸艺,21
13,518498472,周周鸭zz,舰长,23,小丸艺,21
14,3546623024040344,-_周树人_-,舰长,3,小丸艺,21
