rank,uid,username,type,accompany,medal_name,medal_level
1,45331405,青鈫,舰长,158,小丸艺,26
2,222569776,纸上寒灯_梨花雨凉,舰长,45,小丸艺,25
3,3546567229311018,逍-遥-自-在-,舰长,102,小丸艺,25
4,1784237452,幸运版金太狼,舰长,67,小丸艺,25
5,7845145,凉皮米线,舰长,50,小丸艺,24
6,36178387,没有人偶了i,舰长,21,小丸艺,24
7,3546813342682040,神秘人_0019,舰长,115,小丸艺,24
8,3546647397141444,是千栀,舰长,37,小丸艺,23
9,3546888569620883,桃初桃出吃桃酥,舰长,26,小丸艺,23
10,21532767,LuxorSky,舰长,37,小丸艺,22
11,518498472,周周鸭zz,舰长,36,小丸艺,22
12,35320908,想吃核桃酥的核桃,舰长,17,小丸艺,22
13,524964523,黑猪睡不醒,舰长,12,小丸艺,21
14,670463398,大头蘑菇彬,舰长,28,小丸艺,21
15,1306582624,星空奶芙,舰长,4,小丸艺,21
16,3546623024040344,-_周树人_-,舰长,16,小丸艺,21
