rank,uid,username,type,accompany,medal_name,medal_level
1,45331405,青鈫,舰长,152,小丸艺,26
2,222569776,纸上寒灯_梨花雨凉,舰长,39,小丸艺,25
3,3546567229311018,逍-遥-自-在-,舰长,96,小丸艺,25
4,1784237452,幸运版金太狼,舰长,61,小丸艺,24
5,7845145,凉皮米线,舰长,44,小丸艺,24
6,36178387,没有人偶了i,舰长,15,小丸艺,24
7,3546813342682040,神秘人_0019,舰长,109,小丸艺,24
8,3546647397141444,是千栀,舰长,31,小丸艺,23
9,3546888569620883,桃初桃出吃桃酥,舰长,20,小丸艺,22
10,35320908,想吃核桃酥的核桃,舰长,11,小丸艺,22
11,524964523,黑猪睡不醒,舰长,6,小丸艺,21
12,670463398,大头蘑菇彬,舰长,22,小丸艺,21
13,518498472,周周鸭zz,舰长,30,小丸艺,21
14,3546623024040344,-_周树人_-,舰长,10,小丸艺,21
