rank,uid,username,type,accompany,medal_name,medal_level
1,45331405,青鈫,舰长,155,小丸艺,26
2,222569776,纸上寒灯_梨花雨凉,舰长,42,小丸艺,25
3,3546567229311018,逍-遥-自-在-,舰长,99,小丸艺,25
4,1784237452,幸运版金太狼,舰长,64,小丸艺,25
5,7845145,凉皮米线,舰长,47,小丸艺,24
6,36178387,没有人偶了i,舰长,18,小丸艺,24
7,3546813342682040,神秘人_0019,舰长,112,小丸艺,24
8,3546647397141444,是千栀,舰长,34,小丸艺,23
9,3546888569620883,桃初桃出吃桃酥,舰长,23,小丸艺,23
10,21532767,LuxorSky,舰长,34,小丸艺,22
11,518498472,周周鸭zz,舰长,33,小丸艺,22
12,35320908,想吃核桃酥的核桃,舰长,14,小丸艺,22
13,524964523,黑猪睡不醒,舰长,9,小丸艺,21
14,670463398,大头蘑菇彬,舰长,25,小丸艺,21
15,3546623024040344,-_周树人_-,舰长,13,小丸艺,21
