rank,uid,username,type,accompany,medal_name,medal_level
1,222569776,bili_14725836999,舰长,50,小丸艺,26
2,45331405,青鈫,舰长,163,小丸艺,26
3,3546567229311018,逍-遥-自-在-,舰长,107,小丸艺,25
4,1784237452,幸运版金太狼,舰长,72,小丸艺,25
5,7845145,凉皮米线,舰长,55,小丸艺,24
6,36178387,没有人偶了i,舰长,26,小丸艺,24
7,3546813342682040,神秘人_0019,舰长,120,小丸艺,24
8,3546647397141444,是千栀,舰长,42,小丸艺,24
9,3546888569620883,桃初桃出吃桃酥,舰长,31,小丸艺,23
10,518498472,周周鸭zz,舰长,41,小丸艺,22
11,21532767,LuxorSky,舰长,42,小丸艺,22
12,524964523,黑猪睡不醒,舰长,17,小丸艺,22
13,35320908,想吃核桃酥的核桃,舰长,22,小丸艺,22
14,1306582624,星空奶芙,舰长,9,小丸艺,21
15,3546623024040344,-_周树人_-,舰长,21,小丸艺,21
